Date,Good time to buy_mean,Uncertain - depends_mean,Bad time to buy_mean,Relative_mean,Value_3mon_mean,Value_10yr_mean,Yield spread_mean,USREC,Unemployment_mean,housing market_mean,Good time to buy_std,Uncertain - depends_std,Bad time to buy_std,Relative_std,Value_3mon_std,Value_10yr_std,Yield spread_std,Unemployment_std,housing market_std,Good time to buy_split,Uncertain - depends_split,Bad time to buy_split,Relative_split,Value_3mon_split,Value_10yr_split,Yield spread_split,Unemployment_split,housing market_split
1983-04-30,56.0,9.0,35.0,121.0,8.224793287566742,10.5437528604119,2.3189595728451566,0.0,10.299999999999999,108.37102969269499,4.358898943540674,0.0,4.358898943540674,8.717797887081348,0.11802688499403265,0.16553888198556627,0.2534095153648252,0.1000000000000012,0.22518964448243192,8.0,0.0,8.0,16.0,0.23501144164759857,0.32473684210526343,0.4532265446224266,0.20000000000000107,0.4502392878121242
1983-07-31,66.66666666666667,7.666666666666667,25.666666666666668,141.0,8.68822582972583,10.868545454545455,2.180319624819625,0.0,9.866666666666667,108.4593245263272,0.5773502691896247,2.309401076758503,2.081665999466133,2.0,0.45334279740416544,0.4987980843243286,0.12025686428010209,0.4041451884327379,0.19266524590926143,1.0,4.0,4.0,4.0,0.8885952380952382,0.9969999999999999,0.24013636363636381,0.6999999999999993,0.38515682497410353
1983-10-31,65.0,10.0,25.0,140.0,8.99123878536922,11.680298826777088,2.6890600414078674,0.0,9.166666666666666,108.59726412781178,1.0,2.0,1.0,0.0,0.35425606189698594,0.15425879274357335,0.2034165743993785,0.351188458428424,0.18813482920010424,2.0,4.0,2.0,0.0,0.7084782608695637,0.30508695652173756,0.4033913043478261,0.6999999999999993,0.36819110547025957
1984-01-31,66.0,10.333333333333334,23.666666666666668,142.33333333333334,8.887911445279867,11.73126984126984,2.843358395989975,0.0,8.266666666666667,108.37928694009963,6.244997998398398,1.5275252316519468,4.932882862316248,11.150485789118484,0.11675637138638671,0.0854524218622062,0.077903836441882,0.2516611478423586,0.16126081183321514,12.0,3.0,9.0,21.0,0.2319799498746864,0.1552380952380954,0.15483709273182944,0.5,0.32205379432805614
1984-04-30,71.0,10.0,19.0,152.0,9.432904306220097,12.264898724082935,2.831994417862839,0.0,7.766666666666667,108.25423948114462,1.0,1.0,0.0,1.0,0.3116441101566717,0.39847082962533115,0.09615394652947777,0.05773502691896237,0.18820744212627408,2.0,2.0,0.0,2.0,0.6061052631578949,0.7913947368421042,0.18528947368421056,0.09999999999999964,0.35810447742879603
1984-07-31,71.66666666666667,10.333333333333334,18.0,153.66666666666666,9.939141414141412,13.44462481962482,3.5054834054834054,0.0,7.366666666666667,109.03558285459827,5.033222956847167,0.5773502691896258,4.58257569495584,9.609023536933048,0.1534490287284615,0.1049716745616936,0.2316632856395952,0.15275252316519458,0.2486285730872523,10.0,1.0,9.0,19.0,0.28114718614718726,0.2004761904761896,0.44761904761904825,0.2999999999999998,0.4916057758154011
1984-10-31,71.33333333333333,9.666666666666666,19.0,152.33333333333334,10.190610914638373,12.466391026974549,2.2757801123361765,0.0,7.3999999999999995,109.19321702248361,1.1547005383792495,0.5773502691896258,1.0,2.0816659994661366,0.39640337009142274,0.2820533527929436,0.13709617498266913,0.10000000000000031,0.15754250234935466,2.0,1.0,2.0,4.0,0.7301581027667954,0.555632411067192,0.27040669856459276,0.20000000000000018,0.3106733477083594
1985-01-31,69.0,8.666666666666666,22.333333333333332,146.66666666666666,8.140537176274018,11.485472431077694,3.344935254803676,0.0,7.266666666666667,109.2844773097935,3.4641016151377544,1.5275252316519465,2.081665999466132,5.5075705472861065,0.43221300734725887,0.09495325534803539,0.3425272066019544,0.05773502691896237,0.20482113414957828,6.0,3.0,4.0,10.0,0.8522305764411033,0.18834586466165604,0.6638847117794482,0.09999999999999964,0.407771952029762
1985-04-30,75.33333333333333,7.666666666666667,17.0,158.33333333333334,8.242777777777777,11.59962962962963,3.356851851851852,0.0,7.233333333333333,109.67040306702602,1.5275252316519485,0.5773502691896258,1.0,2.5166114784235796,0.2856490335540634,0.22444479992188834,0.12312520316595214,0.05773502691896237,0.21783947844288937,3.0,1.0,2.0,5.0,0.5699999999999994,0.420476190476192,0.24420634920634932,0.09999999999999964,0.43558413524979755
1985-07-31,73.33333333333333,7.666666666666667,19.0,154.33333333333334,7.172090909090909,10.436545454545454,3.2644545454545457,0.0,7.333333333333333,110.83609808867458,1.1547005383792526,1.5275252316519468,1.7320508075688772,2.5166114784235836,0.2739322924126443,0.36322075112744623,0.08972561479540359,0.11547005383792494,0.5369261161746065,2.0,3.0,3.0,5.0,0.5255454545454548,0.6908181818181802,0.1652727272727268,0.20000000000000018,1.0722824909148727
