,0
1890-12,100.0
1891-12,88.01179105656392
1892-12,95.42173618250325
1893-12,92.29738548098196
1894-12,123.98048277944352
1895-12,117.45509156635745
1896-12,100.30299018534107
1897-12,106.51570280594892
1898-12,110.18413977609032
1899-12,103.85311334184749
1900-12,101.57429475419818
1901-12,87.32609550259289
1902-12,100.47364450144372
1903-12,93.07489238475267
1904-12,101.85435896630196
1905-12,87.2485475278975
1906-12,103.52516731881619
1907-12,109.31652066458435
1908-12,100.81918235205104
1909-12,95.38041378581768
1910-12,93.1106367072284
1911-12,97.54333604485521
1912-12,102.3651618352995
1913-12,95.40856079923094
1914-12,96.97716369789562
1915-12,88.14876379786155
1916-12,93.72485164834045
1917-12,85.00903741862217
1918-12,75.56662106329527
1919-12,70.51379535554898
1920-12,66.07414907003694
1921-12,65.61430847947112
1922-12,74.79619714101761
1923-12,76.35007781532083
1924-12,74.28697788319552
1925-12,78.16282020753616
1926-12,72.4906015524438
1927-12,71.38030121096247
1928-12,73.28212987318126
1929-12,72.61432987989278
1930-12,69.49191369505738
1931-12,68.64520320702393
1932-12,68.3371935122121
1933-12,72.86594697645334
1934-12,73.27941112856544
1935-12,78.06999902861963
1936-12,79.41489504934907
1937-12,79.71761780681189
1938-12,78.46465293653384
1939-12,78.54968493492916
1940-12,81.73080632803105
1941-12,73.81588342928296
1942-12,68.50282682878371
1943-12,70.92297420081694
1944-12,80.30899578637265
1945-12,87.75004612093748
1946-12,106.50589550863114
1947-12,109.32967071418366
1948-12,101.22257950824536
1949-12,100.04660762637593
1950-12,105.89483934250828
1951-12,103.89866872416337
1952-12,103.97432747997286
1953-01,114.71330928920199
1953-02,115.14618970161406
1953-03,114.71330928920199
1953-04,114.97977458371813
1953-05,114.68187237243323
1953-06,114.25395493820773
1953-07,114.51843168574987
1953-08,114.2244593901547
1953-09,114.35620617145823
1953-10,113.93266466711948
1953-11,114.2244593901547
1953-12,114.2244593901547
1954-01,114.2244593901547
1954-02,114.35620617145823
1954-03,114.35620617145823
1954-04,114.65067005952096
1954-05,114.2244593901547
1954-06,114.35620617145823
1954-07,114.75144651536878
1954-08,115.01494007797584
1954-09,115.70857704968955
1954-10,115.57633867591846
1954-11,115.57633867591846
1954-12,116.14194250680451
1955-01,116.27467615538369
1955-02,115.87647520964606
1955-03,115.61100791248765
1955-04,114.94733966959164
1955-05,114.94733966959164
1955-06,115.47827426390846
1955-07,115.44410030214738
1955-08,116.10529217100276
1955-09,115.93716754710051
1955-10,115.805420765797
1955-11,115.54192720318994
1955-12,115.70857704968955
1956-01,115.44410030214738
1956-02,115.04738518083417
1956-03,114.65067005952096
1956-04,113.6974722649406
1956-05,113.40762934607285
1956-06,113.74639294476287
1956-07,113.82152580354028
1956-08,115.01735302268835
1956-09,114.46823901833315
1956-10,113.9231185703732
1956-11,113.66537395822303
1956-12,113.38194827058688
1957-01,113.76716440287652
1957-02,114.37998717891374
1957-03,113.96854837611187
1957-04,114.32220700208958
1957-05,114.29362645033903
1957-06,113.50852581346261
1957-07,112.70634541902118
1957-08,112.70634541902118
1957-09,113.08203323708454
1957-10,113.70817960052356
1957-11,113.30779868643724
1957-12,113.18301036189271
1958-01,112.51543645786073
1958-02,112.51543645786073
1958-03,112.71852048719914
1958-04,112.57374971852822
1958-05,112.81900843251195
1958-06,112.20586164755264
1958-07,111.81894488325074
1958-08,112.08323229056077
1958-09,111.7153442195852
1958-10,111.59271486259333
1958-11,111.45232539183023
1958-12,111.96060293356891
1959-01,111.33011889469006
1959-02,111.59271486259333
1959-03,111.59271486259333
1959-04,111.20791239754989
1959-05,111.69673838611055
1959-06,111.31290079715484
1959-07,110.56758383376754
1959-08,110.44621436742969
1959-09,110.31117530249408
1959-10,110.53868634178234
1959-11,110.65923016549202
1959-12,110.17705487065328
1960-01,110.91595148288056
1960-02,110.53868634178234
1960-03,110.53868634178234
1960-04,110.16397893045425
1960-05,109.92370852929734
1960-06,109.31288597230207
1960-07,109.31288597230207
1960-08,109.79180332595946
1960-09,110.27072067961687
1960-10,109.88742608616958
1960-11,109.53064872874695
1960-12,109.53064872874695
1961-01,109.53064872874695
1961-02,109.29279715713189
1961-03,109.53064872874695
1961-04,109.05494558551679
1961-05,109.41172294293942
1961-06,109.29279715713189
1961-07,108.91857735112414
1961-08,109.40138157026048
1961-09,109.03671029835962
1961-10,109.03671029835962
1961-11,109.6273750345371
1961-12,109.8636409290081
1962-01,109.98177387624358
1962-02,109.38090496522184
1962-03,109.38090496522184
1962-04,109.01871653818469
1962-05,109.60546958736761
1962-06,109.72282019720417
1962-07,109.36069867840152
1962-08,109.36069867840152
1962-09,108.88438097166124
1962-10,108.65122383895961
1962-11,108.7678024053104
1962-12,108.7678024053104
1963-01,108.88438097166124
1963-02,108.88438097166124
1963-03,109.1083647089779
1963-04,109.57315007515031
1963-05,109.3407573920641
1963-06,108.98343465548874
1963-07,108.8593184785695
1963-08,108.8593184785695
1963-09,108.8593184785695
1963-10,108.50587913285989
1963-11,109.19626648683355
1963-12,109.30164923827613
1964-01,109.30164923827613
1964-02,109.64572578362221
1964-03,109.64572578362221
1964-04,109.30164923827613
1964-05,108.842880511148
1964-06,108.83474106598929
1964-07,108.71269935304815
1964-08,109.40635210099973
1964-09,109.39642702193521
1964-10,109.6243362448976
1964-11,109.61374430985607
1964-12,109.61374430985607
1965-01,110.29528054390701
1965-02,110.29528054390701
1965-03,109.60322005491065
1965-04,109.02843346766161
1965-05,108.91556759450668
1965-06,108.22622855909839
1965-07,108.4505316234696
1965-08,108.4505316234696
